"","tagname","longitude","latitude","datecollected","yearcollected","monthcollected","daycollected","julianday","timeofday","receiver_group"
"1","A69-9001-17767",-76.24168,34.52815,"2018-08-31 00:00:00",2018,8,31,243,0,"UNCST"
"2","A69-9001-17767",-80.78663,31.91113,"2022-04-01 11:40:38",2022,4,1,91,11.6772222222222,"GAARA"
"3","A69-9001-17767",-80.78663,31.91113,"2022-04-01 11:46:32",2022,4,1,91,11.7755555555556,"GAARA"
"4","A69-9001-17767",-80.78076,31.91671,"2022-04-01 11:59:36",2022,4,1,91,11.9933333333333,"GAARA"
"5","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:08:02",2022,4,1,91,12.1338888888889,"GAARA"
"6","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:10:49",2022,4,1,91,12.1802777777778,"GAARA"
"7","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:13:17",2022,4,1,91,12.2213888888889,"GAARA"
"8","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:15:09",2022,4,1,91,12.2525,"GAARA"
"9","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:17:47",2022,4,1,91,12.2963888888889,"GAARA"
"10","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:20:00",2022,4,1,91,12.3333333333333,"GAARA"
"11","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:21:21",2022,4,1,91,12.3558333333333,"GAARA"
"12","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:22:56",2022,4,1,91,12.3822222222222,"GAARA"
"13","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:25:02",2022,4,1,91,12.4172222222222,"GAARA"
"14","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:26:09",2022,4,1,91,12.4358333333333,"GAARA"
"15","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:27:17",2022,4,1,91,12.4547222222222,"GAARA"
"16","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:29:48",2022,4,1,91,12.4966666666667,"GAARA"
"17","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:31:20",2022,4,1,91,12.5222222222222,"GAARA"
"18","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:33:19",2022,4,1,91,12.5552777777778,"GAARA"
"19","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:42:41",2022,4,1,91,12.7113888888889,"GAARA"
"20","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:44:35",2022,4,1,91,12.7430555555556,"GAARA"
"21","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:51:30",2022,4,1,91,12.8583333333333,"GAARA"
"22","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:53:56",2022,4,1,91,12.8988888888889,"GAARA"
"23","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:55:43",2022,4,1,91,12.9286111111111,"GAARA"
"24","A69-9001-17767",-80.78076,31.91671,"2022-04-01 12:58:12",2022,4,1,91,12.97,"GAARA"
"25","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:02:47",2022,4,1,91,13.0463888888889,"GAARA"
"26","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:05:04",2022,4,1,91,13.0844444444444,"GAARA"
"27","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:06:34",2022,4,1,91,13.1094444444444,"GAARA"
"28","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:08:28",2022,4,1,91,13.1411111111111,"GAARA"
"29","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:11:12",2022,4,1,91,13.1866666666667,"GAARA"
"30","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:13:36",2022,4,1,91,13.2266666666667,"GAARA"
"31","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:15:17",2022,4,1,91,13.2547222222222,"GAARA"
"32","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:17:36",2022,4,1,91,13.2933333333333,"GAARA"
"33","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:19:09",2022,4,1,91,13.3191666666667,"GAARA"
"34","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:21:09",2022,4,1,91,13.3525,"GAARA"
"35","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:26:49",2022,4,1,91,13.4469444444444,"GAARA"
"36","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:29:13",2022,4,1,91,13.4869444444444,"GAARA"
"37","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:30:57",2022,4,1,91,13.5158333333333,"GAARA"
"38","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:37:16",2022,4,1,91,13.6211111111111,"GAARA"
"39","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:38:43",2022,4,1,91,13.6452777777778,"GAARA"
"40","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:40:33",2022,4,1,91,13.6758333333333,"GAARA"
"41","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:43:08",2022,4,1,91,13.7188888888889,"GAARA"
"42","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:45:12",2022,4,1,91,13.7533333333333,"GAARA"
"43","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:54:16",2022,4,1,91,13.9044444444444,"GAARA"
"44","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:57:09",2022,4,1,91,13.9525,"GAARA"
"45","A69-9001-17767",-80.78076,31.91671,"2022-04-01 13:59:49",2022,4,1,91,13.9969444444444,"GAARA"
"46","A69-9001-17767",-80.78076,31.91671,"2022-04-01 14:02:04",2022,4,1,91,14.0344444444444,"GAARA"
"47","A69-9001-17767",-80.78076,31.91671,"2022-04-01 14:03:29",2022,4,1,91,14.0580555555556,"GAARA"
"48","A69-9001-17767",-80.78076,31.91671,"2022-04-01 14:05:14",2022,4,1,91,14.0872222222222,"GAARA"
